Crash ID,State,Month,Year,Dayweek,Time,Crash_Type,Number_of_Fatalities,Bus_Involvement,Rigid_Truck_Involvement,Articulated_Truck_Involvement ,Speed_Limit,National_Remoteness_Region,SA4_Name_2016,LGA_Name_2017,National_Road_Type,Christmas_Period,Easter_Period
20171039,NSW,October,2017,Saturday,04:00,Multiple vehicle,1,No,No,Yes,100,Outer Regional Australia,Mid North Coast,Nambucca,National Or State Highway,No,No
20171044,NSW,October,2017,Thursday,10:55,Multiple vehicle,1,No,No,No,50,Inner Regional Australia,Riverina,Cootamundra-Gundagai,Arterial Road,No,No
20171056,NSW,October,2017,Saturday,03:59,Multiple vehicle,1,No,No,Yes,110,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,National Or State Highway,No,No
20171076,NSW,October,2017,Saturday,02:26,Single vehicle,1,No,No,No,100,Inner Regional Australia,Mid North Coast,Mid-Coast,Local Road,No,No
20171078,NSW,October,2017,Wednesday,16:25,Multiple vehicle,2,No,No,No,100,Inner Regional Australia,Central West,Cabonne,National Or State Highway,No,No
20171084,NSW,October,2017,Friday,20:20,Single vehicle,1,No,No,No,100,Outer Regional Australia,Far West and Orana,Warrumbungle,Sub-Arterial Road,No,No
20171094,NSW,October,2017,Thursday,02:10,Single vehicle,1,No,No,No,80,Major Cities of Australia,Sydney - Blacktown,Blacktown,National Or State Highway,No,No
20171104,NSW,October,2017,Saturday,03:20,Single vehicle,1,No,No,No,70,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Sub-Arterial Road,No,No
20171126,NSW,October,2017,Wednesday,14:40,Single vehicle,1,No,No,No,80,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Sub-Arterial Road,No,No
20171129,NSW,October,2017,Wednesday,21:00,Single vehicle,1,No,No,No,50,Outer Regional Australia,Far West and Orana,Warrumbungle,Access Road,No,No
20171146,NSW,October,2017,Saturday,23:15,Single vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Narrabri,Sub-Arterial Road,No,No
20171155,NSW,October,2017,Saturday,04:30,Multiple vehicle,1,No,No,No,80,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National Or State Highway,No,No
20171167,NSW,October,2017,Monday,00:50,Single vehicle,1,No,No,No,100,Inner Regional Australia,Capital Region,Shoalhaven,National Or State Highway,No,No
20171179,NSW,October,2017,Saturday,22:30,Single vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - South West,Camden,Sub-Arterial Road,No,No
20171186,NSW,October,2017,Sunday,06:10,Single vehicle,1,No,No,No,100,Inner Regional Australia,Mid North Coast,Mid-Coast,Sub-Arterial Road,No,No
20171197,NSW,October,2017,Sunday,17:05,Multiple vehicle,1,No,No,No,80,Major Cities of Australia,Sydney - Sutherland,Sutherland,Arterial Road,No,No
20171231,NSW,October,2017,Saturday,02:16,Pedestrian,1,No,No,No,60,Major Cities of Australia,Sydney - Ryde,Hunters Hill,Arterial Road,No,No
20171244,NSW,October,2017,Thursday,04:15,Single vehicle,1,No,No,No,110,Outer Regional Australia,Riverina,Murrumbidgee,National Or State Highway,No,No
20171276,NSW,October,2017,Monday,12:10,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Glen Innes Severn,National Or State Highway,No,No
20171298,NSW,October,2017,Thursday,13:10,Multiple vehicle,1,No,Yes,No,60,Major Cities of Australia,Sydney - South West,Fairfield,Local Road,No,No
20171308,NSW,October,2017,Tuesday,15:10,Multiple vehicle,1,No,Yes,No,100,Inner Regional Australia,New England and North West,Tamworth Regional,National Or State Highway,No,No
20171320,NSW,October,2017,Wednesday,11:40,Pedestrian,1,No,No,No,60,Major Cities of Australia,Sydney - Sutherland,Sutherland,Arterial Road,No,No
20171339,NSW,October,2017,Saturday,05:30,Multiple vehicle,1,No,No,No,110,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,National Or State Highway,No,No
20171347,NSW,October,2017,Thursday,14:45,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Inverell,Arterial Road,No,No
20171015,NSW,September,2017,Saturday,19:15,Pedestrian,1,No,No,No,60,Inner Regional Australia,Far West and Orana,Dubbo Regional,National Or State Highway,No,No
20171021,NSW,September,2017,Saturday,11:35,Multiple vehicle,1,No,No,No,80,Inner Regional Australia,Sydney - North Sydney and Hornsby,Hornsby,National Or State Highway,No,No
20171054,NSW,September,2017,Monday,01:25,Single vehicle,1,No,No,No,60,Inner Regional Australia,Murray,Albury,Local Road,No,No
20171123,NSW,September,2017,Sunday,04:40,Pedestrian,1,No,No,No,60,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Arterial Road,No,No
20171134,NSW,September,2017,Friday,13:20,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley,Arterial Road,No,No
20171138,NSW,September,2017,Tuesday,08:50,Multiple vehicle,1,No,No,Yes,100,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National Or State Highway,No,No
20171139,NSW,September,2017,Monday,18:00,Single vehicle,1,No,No,No,50,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Sub-Arterial Road,No,No
20171152,NSW,September,2017,Thursday,18:57,Pedestrian,1,No,No,No,60,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,National Or State Highway,No,No
20171165,NSW,September,2017,Friday,12:30,Multiple vehicle,1,No,Yes,No,80,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road,No,No
20171192,NSW,September,2017,Monday,06:10,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - South West,Fairfield,Collector Road,No,No
20171215,NSW,September,2017,Wednesday,05:03,Multiple vehicle,1,No,No,Yes,110,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,National Or State Highway,No,No
20171223,NSW,September,2017,Friday,15:40,Multiple vehicle,1,No,No,No,80,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Arterial Road,No,No
20171246,NSW,September,2017,Thursday,09:54,Pedestrian,1,No,No,No,40,Major Cities of Australia,Illawarra,Shellharbour,Collector Road,No,No
20171249,NSW,September,2017,Monday,07:40,Single vehicle,1,No,No,No,80,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National Or State Highway,No,No
20171253,NSW,September,2017,Saturday,16:09,Single vehicle,1,No,No,No,100,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National Or State Highway,No,No
20171280,NSW,September,2017,Sunday,20:49,Single vehicle,1,No,No,No,70,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road,No,No
20171281,NSW,September,2017,Thursday,15:10,Multiple vehicle,1,No,No,No,80,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road,No,No
20171299,NSW,September,2017,Friday,20:50,Pedestrian,1,No,Yes,No,100,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,No,No
20171307,NSW,September,2017,Saturday,02:40,Single vehicle,3,No,No,No,50,Major Cities of Australia,Sydney - City and Inner South,Sydney,Collector Road,No,No
20171309,NSW,September,2017,Tuesday,20:30,Single vehicle,1,No,No,No,100,Outer Regional Australia,Riverina,Junee,Sub-Arterial Road,No,No
20171314,NSW,September,2017,Tuesday,18:22,Single vehicle,1,No,No,No,50,Major Cities of Australia,Central Coast,Central Coast,Local Road,No,No
20171333,NSW,September,2017,Thursday,20:00,Multiple vehicle,1,No,No,No,50,Major Cities of Australia,Illawarra,Wollongong,Collector Road,No,No
20171334,NSW,September,2017,Wednesday,13:30,Single vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Inverell,National Or State Highway,No,No
20171335,NSW,September,2017,Thursday,11:05,Single vehicle,1,No,No,No,110,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National Or State Highway,No,No
20171344,NSW,September,2017,Friday,14:30,Single vehicle,1,No,No,No,50,Inner Regional Australia,Riverina,Cootamundra-Gundagai,Arterial Road,No,No
20171007,NSW,August,2017,Monday,09:15,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National Or State Highway,No,No
20171010,NSW,August,2017,Tuesday,00:30,Single vehicle,1,No,No,No,50,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Local Road,No,No
20171013,NSW,August,2017,Tuesday,09:00,Multiple vehicle,1,No,No,Yes,100,Inner Regional Australia,Central West,Bathurst Regional,National Or State Highway,No,No
20171022,NSW,August,2017,Saturday,10:50,Multiple vehicle,1,No,No,No,80,Outer Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road,No,No
20171040,NSW,August,2017,Friday,04:45,Single vehicle,1,No,No,No,100,Outer Regional Australia,Central West,Cowra,Arterial Road,No,No
20171041,NSW,August,2017,Tuesday,16:00,Multiple vehicle,1,No,No,No,110,Inner Regional Australia,Mid North Coast,Mid-Coast,National Or State Highway,No,No
20171045,NSW,August,2017,Wednesday,16:15,Single vehicle,1,No,No,No,100,Outer Regional Australia,Capital Region,Bega Valley,Sub-Arterial Road,No,No
20171052,NSW,August,2017,Wednesday,23:54,Single vehicle,1,No,No,No,60,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No
20171065,NSW,August,2017,Thursday,13:30,Multiple vehicle,1,No,No,No,60,Inner Regional Australia,New England and North West,Tamworth Regional,Arterial Road,No,No
20171069,NSW,August,2017,Friday,14:43,Multiple vehicle,2,No,Yes,No,100,Outer Regional Australia,Far West and Orana,Dubbo Regional,National Or State Highway,No,No
20171073,NSW,August,2017,Thursday,08:00,Multiple vehicle,1,No,No,Yes,100,Outer Regional Australia,New England and North West,Tamworth Regional,National Or State Highway,No,No
20171074,NSW,August,2017,Sunday,12:00,Single vehicle,1,No,No,No,50,Inner Regional Australia,Murray,Greater Hume,Arterial Road,No,No
20171085,NSW,August,2017,Sunday,16:35,Single vehicle,2,No,No,No,110,Inner Regional Australia,Richmond - Tweed,Tweed,Access Road,No,No
20171087,NSW,August,2017,Wednesday,16:30,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - Outer South West,Campbelltown,Collector Road,No,No
20171119,NSW,August,2017,Tuesday,11:50,Single vehicle,1,No,No,No,50,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Local Road,No,No
20171127,NSW,August,2017,Thursday,10:00,Pedestrian,1,No,No,No,60,Major Cities of Australia,Sydney - Inner West,Burwood,Local Road,No,No
20171141,NSW,August,2017,Wednesday,07:35,Pedestrian,1,No,No,No,60,Major Cities of Australia,Sydney - Parramatta,Parramatta,Local Road,No,No
20171156,NSW,August,2017,Wednesday,13:35,Multiple vehicle,1,No,No,Yes,110,Remote Australia,Riverina,Carrathool,National Or State Highway,No,No
20171159,NSW,August,2017,Thursday,14:50,Single vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - Ryde,Ryde,Arterial Road,No,No
20171173,NSW,August,2017,Saturday,15:50,Single vehicle,1,No,No,No,100,Remote Australia,Murray,Wentworth,Local Road,No,No
20171187,NSW,August,2017,Monday,03:00,Single vehicle,1,No,No,No,80,Inner Regional Australia,Sydney - Sutherland,Sutherland,Arterial Road,No,No
20171190,NSW,August,2017,Monday,15:20,Multiple vehicle,1,No,Yes,No,100,Major Cities of Australia,Sydney - South West,Liverpool,National Or State Highway,No,No
20171195,NSW,August,2017,Sunday,19:45,Single vehicle,1,No,No,No,50,Major Cities of Australia,Richmond - Tweed,Tweed,Sub-Arterial Road,No,No
20171199,NSW,August,2017,Saturday,05:12,Single vehicle,1,No,No,No,100,Outer Regional Australia,Central West,Bland,Arterial Road,No,No
20171211,NSW,August,2017,Wednesday,17:45,Multiple vehicle,1,No,No,No,80,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,No,No
20171221,NSW,August,2017,Monday,08:55,Single vehicle,1,No,No,No,100,Outer Regional Australia,Mid North Coast,Kempsey,Arterial Road,No,No
20171224,NSW,August,2017,Saturday,22:45,Single vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Glen Innes Severn,Sub-Arterial Road,No,No
20171234,NSW,August,2017,Tuesday,11:00,Single vehicle,1,No,No,No,110,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road,No,No
20171235,NSW,August,2017,Thursday,11:30,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No
20171238,NSW,August,2017,Saturday,07:56,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National Or State Highway,No,No
20171257,NSW,August,2017,Monday,09:30,Single vehicle,1,No,No,No,100,Very Remote Australia,Far West and Orana,Unincorporated,Sub-Arterial Road,No,No
20171258,NSW,August,2017,Wednesday,13:50,Single vehicle,1,No,No,Yes,100,Outer Regional Australia,Riverina,Narrandera,National Or State Highway,No,No
20171262,NSW,August,2017,Friday,22:00,Pedestrian,1,No,No,No,70,Major Cities of Australia,Sydney - Blacktown,Blacktown,Arterial Road,No,No
20171263,NSW,August,2017,Sunday,13:30,Multiple vehicle,1,No,No,No,80,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton,Arterial Road,No,No
20171277,NSW,August,2017,Sunday,14:27,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,Local Road,No,No
20171302,NSW,August,2017,Tuesday,08:50,Multiple vehicle,1,No,No,No,70,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Arterial Road,No,No
20171306,NSW,August,2017,Tuesday,01:00,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - Inner South West,Georges River,Arterial Road,No,No
20171326,NSW,August,2017,Saturday,11:01,Single vehicle,1,No,No,No,90,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No
20171341,NSW,August,2017,Wednesday,07:30,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - Ryde,Ryde,Local Road,No,No
20171014,NSW,July,2017,Monday,08:20,Single vehicle,1,No,No,No,110,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National Or State Highway,No,No
20171028,NSW,July,2017,Tuesday,10:55,Single vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - Blacktown,Blacktown,Collector Road,No,No
20171053,NSW,July,2017,Wednesday,15:50,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - Ryde,Ryde,Local Road,No,No
20171077,NSW,July,2017,Friday,19:10,Pedestrian,1,No,No,No,70,Major Cities of Australia,Sydney - Ryde,Ryde,Arterial Road,No,No
20171083,NSW,July,2017,Friday,08:11,Multiple vehicle,1,No,No,No,50,Outer Regional Australia,New England and North West,Tamworth Regional,National Or State Highway,No,No
20171086,NSW,July,2017,Thursday,12:45,Multiple vehicle,1,No,No,No,50,Major Cities of Australia,Sydney - South West,Fairfield,Local Road,No,No
20171089,NSW,July,2017,Sunday,06:30,Single vehicle,1,No,No,No,100,Inner Regional Australia,New England and North West,Tamworth Regional,Arterial Road,No,No
20171090,NSW,July,2017,Thursday,17:40,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Arterial Road,No,No
20171093,NSW,July,2017,Saturday,07:20,Multiple vehicle,1,No,No,No,110,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National Or State Highway,No,No
20171100,NSW,July,2017,Wednesday,18:35,Multiple vehicle,2,No,No,Yes,110,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Local Road,No,No
20171113,NSW,July,2017,Thursday,04:00,Single vehicle,2,No,Yes,No,80,Outer Regional Australia,Mid North Coast,Mid-Coast,Sub-Arterial Road,No,No
20171114,NSW,July,2017,Tuesday,13:10,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - North Sydney and Hornsby,Ku-ring-gai,Arterial Road,No,No
20171132,NSW,July,2017,Saturday,13:44,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - Parramatta,Cumberland,Collector Road,No,No
20171140,NSW,July,2017,Sunday,02:15,Single vehicle,1,No,No,No,100,Inner Regional Australia,Riverina,Cootamundra-Gundagai,Arterial Road,No,No
20171149,NSW,July,2017,Tuesday,14:55,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - North Sydney and Hornsby,Ku-ring-gai,Collector Road,No,No
